No.,bulan,total,Ruang Bedah,Ruang Penyakit Dalam,Ruang Anak,Ruang Kandungan,Lain-lain
1,Januari,14251,96,680,835,343,12297
2,Februari,12542,86,739,759,282,10676
3,Maret,13852,87,675,707,189,12194
4,April,13414,56,601,683,227,11847
5,Mei,12674,57,560,757,222,11078
6,Juni,14903,68,592,626,239,13378
7,Juli,12450,85,573,562,250,10980
8,Agustus,13076,67,617,551,273,11568
9,September,12677,68,611,510,229,11259
10,Oktober,13554,52,715,316,216,12255
11,November,12779,57,874,328,220,11300
12,Desember,13722,54,725,415,227,12301
